"There are 3 tables on this tab, each with 2 sub-tables. The first table is called Table F.3.5.1: Provincial government health expenditure by use of funds, in millions of current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A5 and ends in cell N56. The sub-table Annual percentage change by year begins in cell A58 and ends in cell N109. The note is in cell A110 and the source is in cell A112. The second table is called Table F.3.5.2: Percentage distribution of provincial government health expenditure by use of funds, Quebec, 1974–1975 to 2024–2025. The sub-table Percentage by year begins in cell A116 and ends in cell N167. The sub-table Annual percentage change by year begins in cell A169 and ends in cell N220. The note is in cell A221 and the source is in cell A223. The third table is called Table F.3.5.3: Provincial government per capita health expenditure by use of funds, in current dollars, Quebec, 1974–1975 to 2024–2025. The sub-table Expenditure by year begins in cell A227 and ends in cell N278. The sub-table Annual percentage change by year begins in cell A280 and ends in cell N331. The note is in cell A332 and the source is in cell A334. There is a link back to the table of contents in cell A2.",,,,,,,,,,,,,,
Back to Table of Contents,,,,,,,,,,,,,,
"Table F.1.1.1  Provincial/territorial government health expenditure by province/territory and Canada in millions of current dollars, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Expenditure by year,,,,,,,,,,,,,,
Year,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1983–1984,9.4,7.9,7.5,3.7,8.5,10.4,8.9,8.2,9.2,5.2,-8.4,2.0,—,8.6
1984–1985,1.8,4.5,9.0,7.1,5.0,7.9,6.1,3.4,0.6,3.1,6.3,5.2,—,5.3
1985–1986,6.4,4.7,7.1,4.9,5.2,9.2,6.4,7.7,8.1,3.0,3.7,15.0,—,6.8
1986–1987,10.2,7.3,4.6,7.1,-0.2,11.6,6.6,11.6,8.4,7.6,11.3,29.3,—,7.1
1987–1988,7.7,7.9,8.1,10.9,8.1,7.9,7.0,0.6,-3.5,3.8,0.6,10.9,—,6.0
1988–1989,6.3,7.1,8.3,6.2,7.3,8.7,6.9,9.0,5.5,7.2,12.8,47.5,—,7.8
1989–1990,6.9,5.4,8.9,8.2,5.9,8.5,9.1,13.2,9.3,9.4,4.2,6.6,—,8.2
1990–1991,11.6,7.3,5.8,6.4,6.4,4.6,8.8,8.5,2.7,10.0,5.5,3.1,—,6.0
1991–1992,0.6,7.8,5.0,3.5,9.1,11.1,0.6,1.3,4.0,7.6,12.5,14.1,—,8.1
1992–1993,2.2,2.5,0.1,3.1,0.9,1.0,5.3,-3.2,4.1,5.1,5.3,-7.9,—,1.8
1993–1994,-0.4,3.5,-3.9,0.4,0.6,-3.0,-2.8,-6.1,-4.8,2.3,22.3,2.6,—,-1.5
1994–1995,4.7,-5.1,-3.9,3.6,1.0,0.0,0.6,2.6,-9.3,1.6,16.8,-5.7,—,-0.2
1995–1996,3.2,2.9,3.4,2.5,0.6,-2.7,2.2,1.7,-5.8,1.3,-9.1,2.2,—,-0.8
1996–1997,1.5,3.9,1.1,-0.5,-2.9,0.4,0.1,2.9,6.5,-0.5,-4.1,-12.7,—,0.0
1997–1998,7.3,-0.5,22.3,-1.2,3.3,0.4,2.9,7.0,9.3,2.2,8.9,11.7,—,3.1
1998–1999,14.1,8.4,2.6,6.3,8.2,6.1,8.2,6.4,5.3,4.6,5.3,7.6,—,6.4
1999–2000,9.9,5.0,6.3,8.6,1.2,5.6,13.8,7.8,14.0,7.6,8.2,2.0,—,6.2
2000–2001,6.8,10.1,1.0,6.8,8.4,10.0,8.2,6.8,7.5,8.5,9.6,8.4,-7.3,8.5
2001–2002,9.1,15.2,6.8,8.9,6.2,2.0,5.6,8.6,11.8,10.1,13.1,11.8,2.7,6.0
2002–2003,6.2,12.6,9.9,4.7,3.7,7.8,6.1,6.1,6.2,4.5,5.1,3.9,28.0,6.1
2003–2004 ,5.5,0.6,8.7,7.4,5.1,10.3,7.6,5.7,5.2,2.7,-0.6,2.2,21.6,7.0
2004–2005,2.0,-0.8,4.3,9.4,5.4,5.3,6.0,8.7,9.1,1.4,7.7,8.3,-1.8,5.3
2005–2006 ,5.2,6.7,9.7,9.1,4.0,5.7,6.8,9.6,9.0,5.6,7.3,0.4,-3.3,6.0
2006–2007 ,8.2,4.2,12.0,9.7,7.6,5.9,5.1,6.3,7.3,3.6,12.7,7.9,11.6,6.5
2007–2008,7.3,7.3,5.8,5.6,5.3,5.6,4.9,6.8,6.3,4.4,2.3,11.3,-3.0,5.5
2008–2009 ,9.3,9.0,5.4,5.8,5.7,6.3,7.3,6.5,9.1,7.4,10.0,8.2,4.8,6.7
2009–2010,9.0,12.2,4.0,5.5,6.5,5.2,6.8,4.1,2.4,1.6,14.5,5.5,6.7,4.8
2010–2011 ,10.2,7.5,12.0,4.2,2.5,3.3,3.1,6.0,13.0,4.3,1.5,10.7,2.0,5.0
2011–2012,4.5,9.2,4.6,5.2,3.5,2.0,3.1,4.6,-1.4,2.0,5.7,9.3,7.4,2.3
2012–2013,9.2,-0.7,2.1,0.8,1.4,4.3,5.0,2.8,3.8,6.1,2.5,2.1,4.7,3.8
2013–2014 ,-0.8,1.3,1.0,-0.8,4.3,0.4,2.6,4.5,0.6,-1.0,4.7,15.7,5.1,1.3
2014–2015,0.9,-0.3,2.3,0.2,1.0,2.5,-1.4,0.7,1.3,2.7,0.2,4.4,5.8,1.8
2015–2016,4.1,2.7,1.7,3.4,11.7,1.9,5.0,3.1,2.4,2.4,8.7,6.0,4.2,4.3
2016–2017,0.7,2.3,-0.8,0.3,-2.8,0.7,-1.2,2.3,3.1,2.6,25.5,12.7,2.5,0.5
2017–2018,1.2,3.0,2.8,2.3,6.1,2.1,1.2,0.4,2.8,1.7,6.4,-9.7,10.6,2.9
2018–2019,3.5,2.7,2.2,1.8,4.5,2.4,-0.1,-1.8,1.7,2.8,-11.0,11.9,4.5,2.6
2019–2020,6.6,4.0,4.2,1.6,4.6,2.1,1.9,5.8,0.2,4.7,1.3,-0.9,9.4,3.0
2020–2021,-1.7,2.5,9.4,3.8,24.4,16.0,10.2,5.4,6.0,13.7,7.3,7.9,1.9,14.8
2021–2022,12.8,6.6,5.6,7.9,4.3,3.7,1.8,5.1,2.9,7.3,3.4,5.3,-7.7,4.4
2022–2023,4.2,5.0,8.1,5.5,-3.0,0.1,3.0,0.4,0.8,1.2,2.4,3.2,5.7,0.1
2023–2024 f,6.2,10.5,9.1,3.7,1.5,-1.3,-2.5,7.8,3.7,7.1,14.8,0.9,18.3,2.0
2024–2025 f,7.1,4.8,4.8,1.1,2.2,3.6,9.1,-1.6,2.1,10.2,-4.7,9.3,3.7,4.1
Note,,,,,,,,,,,,,,
f: Forecast,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,,
"Table F.1.1.3  Total provincial/territorial government health expenditure as a percentage of provincial/territorial GDP by province/territory and Canada, 1974–1975 to 2024–2025",,,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,4.7
1975–1976,—,—,—,—,—,—,—,—,—,—,—,—,—,5.1
1976–1977,—,—,—,—,—,—,—,—,—,—,—,—,—,5.1
1977–1978,—,—,—,—,—,—,—,—,—,—,—,—,—,5.0
1978–1979,—,—,—,—,—,—,—,—,—,—,—,—,—,5.0
1979–1980,—,—,—,—,—,—,—,—,—,—,—,—,—,4.9
1980–1981,—,—,—,—,—,—,—,—,—,—,—,—,—,5.0
1981–1982,7.6,7.9,7.1,7.3,6.5,4.7,5.9,4.9,3.5,5.3,3.1,3.3,—,5.2
1982–1983,8.3,8.5,7.0,8.0,7.1,5.1,6.5,5.8,4.4,5.9,5.1,4.1,—,5.8
1983–1984,8.5,8.3,6.8,7.4,7.1,5.1,6.6,6.0,4.6,6.0,4.7,4.0,—,5.8
1984–1985,8.1,8.5,6.7,7.3,6.9,5.0,6.3,5.9,4.3,5.9,4.9,4.0,—,5.6
1985–1986,8.2,8.3,6.7,7.1,6.8,5.0,6.3,6.2,4.6,5.7,4.6,4.5,—,5.7
1986–1987,8.3,7.9,6.5,6.9,6.3,5.2,6.5,6.9,5.6,5.8,3.9,5.9,—,5.8
1987–1988,8.3,8.0,6.6,7.0,6.3,5.2,6.5,6.8,5.2,5.5,3.2,5.8,—,5.7
1988–1989,8.2,7.9,6.7,7.0,6.3,5.2,6.5,7.1,5.3,5.5,3.4,7.8,—,5.7
1989–1990,8.4,7.8,7.0,7.4,6.4,5.4,6.7,7.5,5.5,5.8,3.4,8.1,—,5.9
1990–1991,9.1,8.1,7.2,7.7,6.7,5.7,7.2,7.6,5.4,6.2,3.7,8.5,—,6.2
1991–1992,8.9,8.4,7.3,7.9,7.3,6.4,7.2,7.7,5.7,6.6,4.4,10.1,—,6.7
1992–1993,9.1,8.4,7.2,7.9,7.3,6.4,7.5,7.3,5.8,6.7,4.5,9.4,—,6.7
1993–1994,8.8,8.3,6.9,7.6,7.1,6.0,7.2,6.5,5.2,6.6,6.4,9.2,—,6.4
1994–1995,8.6,7.7,6.5,7.5,6.8,5.8,6.9,6.2,4.4,6.5,7.0,8.7,—,6.1
1995–1996,8.6,7.6,6.6,7.2,6.7,5.4,6.8,5.9,4.0,6.4,5.9,9.0,—,5.9
1996–1997,8.7,7.6,6.5,7.1,6.3,5.3,6.6,5.7,4.1,6.3,5.5,7.5,—,5.7
1997–1998,9.0,7.5,7.6,6.9,6.3,5.1,6.5,6.0,4.3,6.3,6.2,7.9,—,5.6
1998–1999,9.5,7.7,7.4,6.9,6.5,5.2,6.7,6.2,4.5,6.5,6.6,8.8,—,5.8
1999–2000,9.3,7.6,7.3,7.0,6.2,5.1,7.4,6.3,4.6,6.7,6.8,5.8,17.7,5.8
2000–2001,8.9,7.9,6.9,7.1,6.3,5.4,7.6,6.3,4.3,6.8,6.8,5.6,15.5,5.8
2001–2002,9.1,8.8,7.1,7.5,6.5,5.4,7.8,6.8,4.7,7.4,7.3,5.6,15.3,6.0
2002–2003,8.4,9.4,7.4,7.6,6.5,5.6,8.0,6.9,5.0,7.5,7.8,5.6,18.7,6.2
2003–2004 ,8.1,9.2,7.6,7.8,6.6,6.0,8.4,6.7,4.7,7.3,7.6,4.9,22.6,6.3
2004–2005,7.6,8.6,7.7,8.1,6.7,6.1,8.4,6.6,4.6,6.9,7.7,4.8,20.9,6.3
2005–2006 ,7.1,8.7,8.1,8.4,6.8,6.3,8.5,6.8,4.5,6.8,7.8,4.9,19.7,6.4
2006–2007 ,6.7,8.7,8.9,8.8,7.1,6.5,8.3,6.8,4.6,6.7,8.3,5.2,21.0,6.5
2007–2008,6.3,9.0,9.0,8.8,7.2,6.7,8.3,6.3,4.7,6.7,7.9,5.4,19.0,6.6
2008–2009 ,6.8,9.6,9.3,9.2,7.5,7.1,8.7,5.8,5.0,7.3,8.0,5.9,17.8,6.9
2009–2010,8.7,10.5,9.6,9.7,8.0,7.6,9.5,6.6,5.9,7.6,8.9,7.0,18.7,7.5
2010–2011 ,8.3,10.8,10.4,9.7,8.0,7.5,9.4,6.6,6.1,7.7,8.5,6.8,16.4,7.5
2011–2012,7.9,11.6,10.7,9.9,7.9,7.4,9.3,6.1,5.6,7.6,8.6,7.7,16.8,7.4
2012–2013,8.8,11.2,10.8,9.9,7.9,7.6,9.3,6.1,5.6,7.9,8.8,8.3,16.7,7.5
2013–2014 ,8.3,11.0,10.6,9.8,8.0,7.5,9.3,6.1,5.3,7.7,8.9,9.4,17.2,7.4
2014–2015,8.6,10.7,10.5,9.6,7.9,7.4,9.0,6.3,5.3,7.6,9.0,9.4,17.9,7.3
2015–2016,9.6,10.6,10.5,9.6,8.6,7.3,9.3,6.9,6.3,7.7,10.1,10.3,18.4,7.7
2016–2017,9.5,10.5,10.2,9.4,8.2,7.1,9.1,7.3,6.7,7.6,12.3,12.0,17.4,7.6
2017–2018,9.1,10.5,10.2,9.3,8.3,7.1,8.9,7.0,6.5,7.3,13.0,10.6,17.3,7.5
2018–2019,9.1,10.6,10.2,9.2,8.4,7.1,8.8,6.7,6.4,7.3,11.4,11.6,17.2,7.5
2019–2020,9.7,10.7,10.5,9.3,8.6,7.2,9.0,7.2,6.7,7.6,11.4,11.9,16.8,7.7
2020–2021,9.8,10.7,11.4,9.6,10.6,8.3,9.9,7.8,7.6,8.4,11.6,13.4,15.3,8.9
2021–2022,9.7,10.4,11.2,9.6,10.1,8.0,9.3,7.0,6.4,8.0,11.2,12.3,12.8,8.3
2022–2023,9.8,10.5,11.7,9.8,9.3,7.6,9.1,5.9,5.7,7.6,10.8,11.5,13.3,7.8
2023–2024 f,10.8,11.9,12.5,10.2,9.3,7.4,8.8,6.6,6.2,8.1,12.3,11.8,14.9,7.9
2024–2025 f,11.1,12.0,12.6,9.9,9.2,7.6,9.3,6.4,6.1,8.7,11.3,12.9,13.8,8.1
Annual percentage change by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,—,—,—,—,—,—,—,—,—,—,—,—,—,8.2
1976–1977,—,—,—,—,—,—,—,—,—,—,—,—,—,0.5
1977–1978,—,—,—,—,—,—,—,—,—,—,—,—,—,2.2
1978–1979,—,—,—,—,—,—,—,—,—,—,—,—,—,-4.8
1979–1980,—,—,—,—,—,—,—,—,—,—,—,—,—,-1.7
1980–1981,—,—,—,—,—,—,—,—,—,—,—,—,—,2.4
1981–1982,—,—,—,—,—,—,—,—,—,—,—,—,—,4.4
1982–1983,9.0,7.3,-1.2,9.3,9.1,8.7,10.7,19.3,23.4,10.9,64.5,23.3,—,10.9
1983–1984,2.6,-2.6,-3.6,-7.6,0.5,-0.1,1.7,3.1,5.4,0.7,-7.6,-2.5,—,0.7
1984–1985,-4.6,2.0,-0.7,-1.5,-3.0,-1.9,-3.9,-1.4,-6.1,-1.2,5.2,0.8,—,-2.7
1985–1986,0.3,-1.8,-0.6,-2.5,-1.5,0.5,0.0,5.0,7.3,-3.0,-7.5,10.1,—,0.3
1986–1987,1.4,-5.1,-3.2,-3.8,-7.8,3.0,3.2,12.1,21.2,1.7,-14.4,31.5,—,1.8
1987–1988,-0.4,1.3,1.6,2.1,-0.3,-0.3,0.2,-2.2,-7.0,-4.5,-19.1,-0.7,—,-1.5
1988–1989,-0.5,-1.5,2.7,0.7,0.4,1.0,-0.3,4.3,0.6,-0.4,7.1,33.4,—,0.7
1989–1990,2.0,-0.8,3.5,4.6,2.5,4.2,3.4,6.0,4.3,4.3,1.0,4.4,—,3.7
1990–1991,8.6,3.5,2.9,5.0,4.4,5.1,6.2,1.5,-1.4,8.3,8.3,4.8,—,4.6
1991–1992,-2.0,4.4,2.0,2.4,8.5,11.6,0.9,0.5,5.4,6.0,20.3,19.4,—,8.0
1992–1993,1.9,-0.4,-1.6,-0.4,-0.6,0.3,4.0,-4.4,2.0,1.3,1.6,-7.4,—,0.3
1993–1994,-3.4,-1.9,-4.4,-4.0,-2.0,-5.5,-3.9,-11.4,-10.9,-1.8,42.4,-2.4,—,-4.7
1994–1995,-1.4,-6.9,-5.7,-1.5,-3.7,-4.3,-4.1,-3.8,-14.5,-1.5,8.3,-4.7,—,-4.6
1995–1996,-0.7,-1.4,1.2,-3.4,-2.5,-6.1,-1.4,-5.6,-9.0,-0.8,-15.6,2.7,—,-4.2
1996–1997,1.6,0.2,-0.7,-1.7,-4.8,-2.1,-4.0,-3.4,0.4,-1.7,-6.6,-16.6,—,-2.8
1997–1998,3.3,-1.8,16.9,-2.9,-0.8,-4.0,-1.1,6.0,4.9,-0.3,12.5,5.1,—,-0.8
1998–1999,5.4,2.7,-2.9,0.7,3.5,1.3,3.7,3.5,5.4,3.2,6.4,12.0,—,2.6
1999–2000,-1.9,-1.0,-1.1,0.8,-5.4,-0.6,9.7,1.4,2.9,2.4,3.6,-34.1,—,-0.7
2000–2001,-4.8,4.1,-5.3,1.7,2.7,4.5,2.8,-0.9,-7.4,2.3,-0.5,-3.1,-12.5,1.4
2001–2002,2.3,12.0,1.7,5.7,2.8,-0.3,2.3,8.2,10.1,8.6,7.9,-0.2,-1.2,3.3
2002–2003,-7.4,6.2,4.8,1.4,-0.1,4.4,2.7,1.0,5.3,0.9,6.1,-0.9,22.4,2.6
2003–2004 ,-3.5,-2.5,3.2,2.2,1.6,7.9,4.7,-2.1,-5.1,-2.7,-1.7,-12.8,20.4,2.4
2004–2005,-6.4,-6.2,0.6,3.7,1.6,1.9,0.7,-1.1,-1.5,-5.5,1.6,-1.4,-7.3,-0.1
2005–2006 ,-7.0,1.7,5.9,4.1,1.4,2.5,1.3,2.3,-1.9,-0.8,1.1,2.0,-5.7,0.9
2006–2007 ,-4.5,0.0,9.2,4.3,4.1,2.9,-2.1,0.7,2.3,-2.0,5.3,5.8,6.3,2.1
2007–2008,-7.1,3.2,1.7,1.0,1.5,3.1,-0.5,-8.0,0.7,1.0,-4.6,5.4,-9.5,1.2
2008–2009 ,9.1,7.0,2.7,4.6,4.5,6.8,4.9,-7.6,6.4,7.6,1.6,7.9,-6.0,5.4
2009–2010,26.8,8.5,4.1,4.5,6.5,6.1,8.7,14.2,17.6,5.0,10.9,18.4,4.6,8.7
2010–2011 ,-4.3,3.6,7.5,0.1,-0.8,-0.8,-0.8,-1.0,4.1,0.8,-4.0,-1.9,-12.4,0.0
2011–2012,-4.3,6.6,2.9,2.1,-0.1,-1.2,-1.4,-7.2,-8.3,-1.6,1.6,13.4,2.8,-2.2
2012–2013 ,11.2,-3.4,1.0,0.4,-0.7,2.4,0.5,-0.3,0.6,5.1,1.8,7.7,-0.8,1.6
2013–2014,-5.8,-1.7,-1.6,-1.5,1.9,-1.5,-0.2,1.1,-5.7,-3.3,1.1,12.3,2.9,-1.8
2014–2015,3.8,-2.2,-0.5,-1.8,-1.4,-1.2,-3.1,3.1,0.2,-0.4,1.0,0.5,4.1,-0.8
2015–2016,11.8,-0.9,-0.4,0.5,9.0,-1.8,3.8,8.6,18.4,0.1,11.9,9.6,2.7,4.8
2016–2017,-1.6,-0.9,-2.6,-2.0,-5.4,-2.0,-2.5,6.0,6.8,-1.1,22.5,16.8,-5.2,-1.0
2017–2018,-4.4,-0.5,-0.1,-1.4,2.1,-0.6,-2.3,-3.9,-3.7,-3.1,5.4,-12.0,-0.8,-1.1
2018–2019,0.4,1.1,-0.4,-0.9,0.7,0.1,-1.3,-4.4,-0.5,-0.3,-12.3,9.9,-0.4,-0.1
2019–2020,6.5,1.1,2.9,1.3,2.8,1.5,2.4,7.8,4.2,3.8,0.1,2.4,-2.3,2.9
2020–2021,1.5,0.0,8.6,2.9,23.0,15.8,10.2,8.4,13.3,10.4,2.1,12.3,-9.2,15.2
2021–2022,-1.6,-3.3,-1.6,-0.4,-5.2,-4.2,-5.7,-10.8,-16.4,-4.6,-4.1,-8.3,-16.1,-6.5
2022–2023,1.4,1.4,4.5,2.4,-8.1,-5.1,-2.4,-14.9,-10.4,-4.7,-2.8,-6.3,4.3,-6.4
2023–2024 f,10.4,12.9,7.3,4.2,0.2,-1.7,-4.0,11.0,8.2,6.4,13.3,2.3,11.5,2.2
2024–2025 f,2.5,0.9,0.8,-2.9,-0.7,2.4,6.3,-3.3,-0.3,7.2,-8.0,9.7,-7.0,1.9
Note,,,,,,,,,,,,,,
f: Forecast,,,,,,,,,,,,,,
Source,,,,,,,,,,,,,,
"National Health Expenditure Database, 2024, Canadian Institute for Health Information.",,,,,,,,,,,,,,
"Table F.1.1.4  Total provincial/territorial government health expenditure as a proportion of total provincial/territorial government programs* by province/territory and Canada,1974–1975 to 2024–2025",,,,,,,,,,,,,,
Percentage by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,24.6,23.2,27.5,21.5,29.1,30.8,29.4,25.5,24.7,26.0,10.1,9.6,—,28.3
1975–1976,23.4,22.6,27.3,22.4,29.6,30.8,30.2,25.3,25.1,26.6,9.8,10.2,—,28.4
1976–1977,23.3,23.2,27.3,24.0,29.3,31.8,31.5,25.6,23.1,28.9,14.1,9.7,—,28.8
1977–1978,24.8,21.0,25.5,24.5,28.4,31.2,28.8,25.1,22.1,28.0,12.6,10.6,—,28.0
1978–1979,20.8,22.6,24.9,24.8,28.8,31.2,32.4,25.5,22.8,29.4,11.8,11.0,—,28.3
1979–1980,23.6,22.9,26.5,25.8,28.4,31.0,31.7,25.6,20.0,29.5,10.0,9.5,—,27.8
1980–1981,25.1,24.0,26.6,26.7,27.5,32.7,31.9,26.5,23.2,30.8,11.3,9.6,—,28.7
1981–1982,28.4,26.3,25.6,28.2,27.8,33.5,31.8,27.4,23.0,31.8,10.8,10.0,—,29.2
1982–1983,28.7,27.2,29.0,28.3,29.3,34.4,31.7,29.0,21.8,29.4,15.3,12.1,—,29.5
1983–1984,27.9,29.1,29.7,28.4,28.9,35.5,30.7,30.6,23.9,29.7,12.6,11.4,—,30.1
1984–1985,28.7,29.0,29.9,28.9,29.5,36.5,31.9,29.2,24.2,30.5,12.4,10.7,—,30.8
1985–1986,28.2,27.7,31.2,28.7,29.4,34.4,31.2,27.7,23.8,31.0,11.5,11.3,—,30.2
1986–1987,28.9,28.4,32.1,29.0,28.6,37.4,30.8,32.4,24.7,32.5,10.5,13.0,—,31.4
1987–1988,28.8,27.7,32.7,29.0,29.8,37.7,33.2,33.6,25.7,33.5,9.4,12.7,—,32.3
1988–1989,28.6,27.0,31.4,29.8,29.0,37.1,32.2,32.4,28.4,34.4,11.6,17.3,—,32.4
1989–1990,28.6,26.2,29.1,29.9,30.3,38.4,32.7,31.3,29.9,33.8,11.6,17.0,—,33.2
1990–1991,29.7,26.6,33.2,29.8,30.0,36.2,35.0,33.8,30.1,34.6,11.7,16.2,—,32.9
1991–1992,28.9,27.2,34.3,29.7,30.6,36.0,32.7,27.0,30.7,32.9,11.9,17.3,—,32.6
1992–1993,27.9,27.5,30.8,30.2,29.6,36.0,34.6,33.8,30.5,33.8,11.9,16.5,—,32.6
1993–1994,29.4,23.1,32.8,30.4,30.0,36.4,33.7,29.7,32.1,33.7,14.3,16.0,—,32.9
1994–1995,29.3,28.1,31.3,30.8,29.5,36.7,35.3,32.6,29.9,32.9,15.6,15.2,—,32.7
1995–1996,30.0,28.9,31.2,31.2,29.9,35.1,35.8,34.0,29.9,33.4,13.8,15.3,—,32.4
1996–1997,29.8,29.5,33.2,31.3,29.7,37.6,35.2,36.2,32.1,32.7,14.2,14.4,—,33.4
1997–1998,32.1,29.4,39.2,30.5,31.0,37.7,34.6,36.9,33.8,33.9,15.9,16.0,—,34.3
1998–1999,34.3,29.9,37.4,30.5,31.5,37.0,36.4,35.9,35.0,25.6,16.3,16.7,—,32.9
1999–2000,34.4,29.5,37.9,30.0,30.0,39.1,37.5,34.4,35.4,35.3,16.1,16.7,18.8,34.9
2000–2001,35.8,29.2,37.9,34.0,31.1,41.0,40.0,36.7,33.2,37.5,16.8,17.9,18.1,36.2
2001–2002,35.9,32.0,39.6,35.7,31.2,43.1,40.8,34.4,32.5,39.2,17.6,17.9,17.5,36.9
2002–2003,37.0,35.5,41.1,36.7,30.9,43.1,42.3,32.8,38.3,42.0,17.7,17.8,21.1,38.0
2003–2004 ,37.2,33.2,41.8,36.9,31.5,43.7,42.2,36.4,38.5,42.7,16.6,17.6,24.3,38.8
2004–2005,38.5,33.9,41.2,37.8,32.3,44.2,43.4,37.3,38.4,43.3,16.2,18.9,23.4,39.3
2005–2006 ,25.7,34.1,41.3,39.0,31.8,43.7,43.4,38.9,38.1,43.2,16.3,17.8,21.9,38.7
2006–2007 ,35.0,33.2,43.0,40.0,31.1,44.5,43.2,38.7,38.8,42.3,17.1,18.6,23.6,39.1
2007–2008 ,33.7,33.5,41.6,37.1,32.3,44.0,41.6,39.8,36.5,41.5,17.1,18.6,21.2,38.7
2008–2009 ,33.8,31.0,37.9,33.1,30.4,40.2,37.6,32.5,35.6,37.6,17.3,19.4,20.8,35.9
2009–2010,33.6,32.5,37.9,34.1,31.7,39.4,38.5,31.6,35.5,38.1,18.7,19.2,22.0,36.0
2010–2011 ,35.0,35.1,41.0,34.4,31.9,38.2,37.9,31.0,39.1,38.8,18.2,20.9,21.8,36.3
2011–2012,35.4,37.7,41.0,36.0,32.1,38.3,36.6,31.3,37.3,37.7,19.7,21.9,22.6,36.1
2012–2013 ,38.9,37.2,40.0,35.5,31.5,40.6,39.2,32.8,37.5,40.3,19.5,21.7,23.1,37.2
2013–2014,38.1,36.4,39.2,33.8,31.8,40.4,39.4,34.3,37.5,40.0,19.4,23.3,22.6,37.1
2014–2015,38.2,36.1,38.6,32.6,31.7,40.6,37.9,34.0,38.1,40.6,19.3,22.4,23.4,37.2
2015–2016,38.6,36.0,39.1,33.3,35.1,40.7,38.6,33.8,37.1,40.3,20.0,23.7,24.1,37.9
2016–2017,37.8,36.5,38.6,32.3,33.4,40.1,37.8,34.2,36.6,40.3,25.4,26.2,23.9,37.2
2017–2018,38.1,36.8,38.3,31.8,34.0,39.1,38.0,34.9,37.0,39.4,27.1,23.2,25.3,37.0
2018–2019,39.3,36.0,38.0,31.5,34.4,38.6,37.6,33.1,36.6,38.5,23.2,24.8,25.2,36.7
2019–2020,41.2,35.5,38.7,31.8,33.7,38.4,37.1,34.1,36.2,37.8,22.8,23.2,26.9,36.4
2020–2021,39.1,34.4,41.1,33.8,38.1,41.9,38.2,33.2,38.7,38.1,23.4,24.2,27.0,39.1
2021–2022,43.0,35.5,39.9,34.9,37.1,41.8,37.1,30.6,38.2,38.6,22.9,23.8,24.7,38.7
2022–2023,41.2,36.6,40.5,33.3,35.1,41.7,36.9,31.8,38.6,36.8,22.8,23.3,25.7,38.0
2023–2024 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
2024–2025 f,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Annual percentage change by year,,,,,,,,,,,,,,
Year ,N.L.,P.E.I., N.S.,N.B.,Que., Ont.,Man.,Sask.,Alta.,B.C.,Y.T.,N.W.T.,Nun.,Canada
1974–1975,—,—,—,—,—,—,—,—,—,—,—,—,—,—
1975–1976,-4.7,-2.3,-0.5,4.3,1.6,-0.2,2.7,-0.8,1.6,2.3,-2.9,5.7,—,0.6
1976–1977,-0.6,2.6,-0.2,7.2,-1.0,3.3,4.3,1.3,-8.0,9.0,44.0,-4.4,—,1.4
1977–1978,6.4,-9.5,-6.5,2.0,-3.0,-1.9,-8.4,-1.9,-4.3,-3.2,-10.4,8.5,—,-2.8
1978–1979,-16.0,7.4,-2.5,1.0,1.3,0.0,12.3,1.8,3.0,5.0,-6.3,4.0,—,1.0
1979–1980,13.4,1.4,6.5,4.1,-1.3,-0.5,-2.1,0.2,-12.1,0.1,-15.1,-13.3,—,-1.9
1980–1981,6.3,4.7,0.3,3.3,-3.2,5.4,0.8,3.5,16.1,4.5,12.8,0.5,—,3.4
1981–1982,13.2,9.8,-3.6,5.9,1.0,2.7,-0.6,3.7,-1.1,3.5,-4.3,4.0,—,1.7
1982–1983,0.8,3.2,13.3,0.0,5.6,2.5,-0.1,5.7,-5.1,-7.5,41.7,21.9,—,0.9
1983–1984,-2.7,7.0,2.2,0.4,-1.5,3.2,-3.4,5.5,9.5,0.7,-18.0,-6.3,—,2.1
1984–1985,3.0,-0.3,0.9,1.9,2.0,2.7,4.0,-4.6,1.5,3.0,-1.5,-6.2,—,2.3
